objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
10 Tricks Later,406761,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126317547,5.51695,6.34062,2,20034,124,thing,10 Tricks Later,3,4,30,30,30,2023,"3,4","3,4",,,,,,,,standalone,,,,,,,,,,,,,,,
10-Minute Games: Expansions,326972,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,81348117,0,6.33929,0,0,327,thing,10-Minute Games: Expansions,2,7,20,20,10,2020,,,,,,,,,,expansion,,,,,,,,,,,,,,,
10/12 Heart,458388,10,1,0,1,0,0,0,0,0,0,0,3,,,,,,139486194,0,8.42727,0,0,20,thing,10/12 Heart,4,4,45,45,30,2025,4,4,,,,,,,,standalone,,,,,,,,,,,,,,,
11 nimmt!,63706,0,2,0,1,0,0,0,0,0,0,0,1,,,,,,131185416,5.86038,6.33627,1.2016,4153,3453,thing,11 nimmt!,2,7,30,30,30,2010,"2,3,4,5,6",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
12 Chip Trick,358669,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126315757,6.03022,6.82567,1.6389,2979,2316,thing,12 Chip Trick,2,4,20,20,20,2022,"3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
12 Rivers,370391,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,98071680,5.58214,6.9353,1.75,10331,271,thing,12 Rivers,2,4,75,75,45,2022,"2,3,4",4,6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
13 Animals,432488,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,126810483,5.5432,6.66221,1,14019,180,thing,13 Animals,2,5,30,30,20,2024,3,3,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
13 Clues,208766,0,0,0,0,0,0,1,0,0,0,0,3,,,,,,83130490,5.90486,6.54494,1.9714,3788,2179,thing,13 Clues,2,6,30,30,30,2016,"3,4,5,6",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
13 Leaves,434442,0,2,0,1,0,0,0,0,0,0,0,3,,,,,,137602869,5.68422,6.68332,1.25,6575,859,thing,13 Leaves,3,6,20,20,20,2025,"3,4,5,6","4,5",,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
15th Stamp,456370,0,1,0,0,0,0,0,0,0,0,0,3,,,,,,141576705,0,6,1,0,4,thing,15th Stamp,3,7,20,20,15,2026,"3,4,5,6,7",5,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
18 Parceks,415503,0,0,0,0,0,0,0,0,0,0,1,3,,,,,,124948466,0,0,0,0,1,thing,18 Parceks,2,5,90,90,60,2024,,,,,,,,,,standalone,,,,,,,,,,,,,,,
1920 Wall Street,226255,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,73688581,5.77282,6.73615,2.2941,5076,1691,thing,1920 Wall Street,2,5,60,60,45,2017,"2,3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
1ers Contacts,445459,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,134024950,5.57618,7.64491,2.6667,10723,161,thing,1ers Contacts,2,5,60,60,30,2025,"2,3,4,5","3,5",,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
20 Strong,373167,0,2,0,0,0,0,0,0,1,0,0,3,,,,,,126312310,6.48605,7.38573,2.3596,1347,8300,thing,20 Strong,1,1,40,40,30,2023,1,1,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
20 Strong: Hoplomachus Victorum,373169,0,0,0,0,0,0,0,0,1,0,0,3,,,,,,126312325,5.87268,7.69855,2.7647,0,4571,thing,20 Strong: Hoplomachus Victorum,1,1,40,40,30,2023,1,1,14+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
20 Strong: Tanglewoods Promo Cards,406959,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126312327,5.55744,7.31609,3,0,1929,thing,20 Strong: Tanglewoods Promo Cards,1,1,45,45,30,2023,1,1,12,,,,,,,expansion,,,,,,,,,,,,,,,
20 Strong: Too Many Bones,373168,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,126312314,5.92515,7.52943,2.3846,0,4881,thing,20 Strong: Too Many Bones,1,1,45,45,30,2023,1,1,14+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
3 Chapters,423517,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,136062004,6.24943,7.06099,1.6949,2023,4873,thing,3 Chapters,2,6,30,30,30,2024,"3,4,5,6","4,5",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
3 Ring Circus,371947,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,115344571,6.39037,7.17871,2.7411,1601,6125,thing,3 Ring Circus,1,4,75,75,45,2023,"1,2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
3 Witches,447707,0,1,0,1,0,0,0,0,0,0,0,3,,,,,,138410417,5.64151,7.21034,2,7666,621,thing,3 Witches,3,3,20,20,20,2025,3,3,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
3000 Scoundrels,367525,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,101062234,5.74366,6.32907,2.24,5474,2214,thing,3000 Scoundrels,2,4,90,90,60,2022,"2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
4 Seasons,213304,0,0,0,1,0,0,1,0,1,0,0,3,,,,,,83570004,5.52532,6.37784,2,17600,241,thing,4 Seasons,3,4,30,30,30,2016,3,3,,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
